协议编号,借据编号,还款期数,应还日期,欠还利息,欠还本金,欠还本息,还款标志
350024513243,104,8,2018-09-19,112.00,0.00,112.00,3
350024513243,104,9,2018-10-19,112.00,0.00,112.00,3
350024513243,104,10,2018-11-19,112.00,0.00,112.00,3
350024513243,104,11,2018-12-19,112.00,0.00,112.00,3
290202178787,107,6,2018-09-05,189.00,21000.00,21189.00,3
130750760627,106,3,2018-09-11,256.00,8000.00,8256.00,3
130750760627,106,4,2018-10-11,192.00,8000.00,8192.00,3
130750760627,106,5,2018-11-11,128.00,8000.00,8128.00,3
130750760627,106,6,2018-12-11,64.00,8000.00,8064.00,3
140616951288,111,7,2018-11-24,5720.00,0.00,5720.00,3
140616951288,111,8,2018-12-24,5720.00,0.00,5720.00,3
191397128335,108,1,2018-07-18,135.00,771.39,906.39,3
191397128335,108,2,2018-08-18,128.06,778.33,906.39,3
191397128335,108,3,2018-09-18,121.05,785.34,906.39,3
191397128335,108,4,2018-10-18,113.98,792.41,906.39,3
191397128335,108,5,2018-11-18,106.85,799.54,906.39,3
191397128335,108,6,2018-12-18,99.66,806.73,906.39,3
131091385479,119,5,2018-08-02,6846.00,0.00,6846.00,3
131091385479,119,6,2018-09-02,6846.00,0.00,6846.00,3
131091385479,119,7,2018-10-02,6846.00,0.00,6846.00,3
131091385479,119,8,2018-11-02,6846.00,0.00,6846.00,3
131091385479,119,9,2018-12-02,6846.00,0.00,6846.00,3
150470623609,117,3,2018-04-19,78.00,8666.67,8744.67,3
240713769359,101,5,2018-11-05,770.00,5500.00,6270.00,3
240713769359,101,6,2018-12-05,715.00,5500.00,6215.00,3
061121355936,116,4,2018-05-04,13472.96,93662.49,107135.45,3
061121355936,116,5,2018-06-04,12630.00,94505.45,107135.45,3
061121355936,116,6,2018-07-04,11779.45,95356.00,107135.45,3
061121355936,116,7,2018-08-04,10921.24,96214.21,107135.45,3
061121355936,116,8,2018-09-04,10055.32,97080.13,107135.45,3
061121355936,116,9,2018-10-04,9181.59,97953.86,107135.45,3
061121355936,116,10,2018-11-04,8300.01,98835.44,107135.45,3
061121355936,116,11,2018-12-04,7410.49,99724.96,107135.45,3
120782462287,113,2,2018-09-20,440.00,0.00,440.00,3
120782462287,113,3,2018-10-20,440.00,0.00,440.00,3
120782462287,113,4,2018-11-20,440.00,0.00,440.00,3
120782462287,113,5,2018-12-20,440.00,0.00,440.00,3
360211915988,114,4,2018-08-14,6112.50,67916.67,74029.17,3
360211915988,114,5,2018-09-14,5433.33,67916.67,73350.00,3
360211915988,114,6,2018-10-14,4754.17,67916.67,72670.83,3
360211915988,114,7,2018-11-14,4075.00,67916.67,71991.67,3
360211915988,114,8,2018-12-14,3395.83,67916.67,71312.50,3
181309140314,115,7,2018-12-23,12208.78,198451.70,210660.48,3
250516966416,106,2,2018-06-09,708.58,4306.79,5015.37,3
250516966416,106,3,2018-07-09,669.82,4345.55,5015.37,3
250516966416,106,4,2018-08-09,630.71,4384.66,5015.37,3
250516966416,106,5,2018-09-09,591.25,4424.12,5015.37,3
250516966416,106,6,2018-10-09,551.43,4463.94,5015.37,3
250516966416,106,7,2018-11-09,511.26,4504.11,5015.37,3
250516966416,106,8,2018-12-09,470.72,4544.65,5015.37,3
200328252609,102,10,2018-12-02,534.00,22250.00,22784.00,3
191097390452,116,5,2018-06-01,4893.33,61166.67,66060.00,3
191097390452,116,6,2018-07-01,4281.67,61166.67,65448.33,3
191097390452,116,7,2018-08-01,3670.00,61166.67,64836.67,3
191097390452,116,8,2018-09-01,3058.33,61166.67,64225.00,3
191097390452,116,9,2018-10-01,2446.67,61166.67,63613.33,3
191097390452,116,10,2018-11-01,1835.00,61166.67,63001.67,3
191097390452,116,11,2018-12-01,1223.33,61166.67,62390.00,3
061410942769,106,1,2018-04-04,1467.00,54333.34,55800.34,3
061410942769,106,2,2018-05-04,978.00,54333.33,55311.33,3
061410942769,106,3,2018-06-04,489.00,54333.33,54822.33,3
140552770118,109,6,2018-11-26,367.50,7500.00,7867.50,3
140552770118,109,7,2018-12-26,315.00,7500.00,7815.00,3
111065798102,109,4,2018-10-04,1484.00,0.00,1484.00,3
111065798102,109,5,2018-11-04,1484.00,0.00,1484.00,3
111065798102,109,6,2018-12-04,1484.00,0.00,1484.00,3
120710329665,104,1,2018-04-02,684.00,2851.14,3535.14,3
120710329665,104,2,2018-05-02,658.34,2876.80,3535.14,3
120710329665,104,3,2018-06-02,632.45,2902.69,3535.14,3
