协议编号,借据编号,借据金额,借据币种,剩余本金,借据利率,借据期限,期限单位,还款方式,还款顺序,罚息利率,提前还款标志,提前还款费率,展期标志,展期费率,生效日期,到期日期,借据状态,欠款期数,起欠期数,欠还利息,欠还本金,欠还金额
181444525315,101,879000.00,156,879000.00,8.4,12,1,0,0,0.5,1,0.0,0,3.0,2018-02-24,2019-02-24,0,0,0,0.00,0.00,0.00
190795594346,118,719000.00,156,719000.00,9.6,6,1,0,0,1.0,1,0.0,1,0.0,2018-03-22,2018-09-22,0,0,0,0.00,0.00,0.00
160511647763,115,69000.00,156,69000.00,10.8,18,1,1,0,0.8,1,0.0,0,3.0,2018-03-07,2019-09-07,0,0,0,0.00,0.00,0.00
070841306904,106,2550000.00,156,2550000.00,9.6,24,1,2,0,0.5,1,0.0,1,0.0,2018-02-24,2020-02-24,0,0,0,0.00,0.00,0.00
071553543063,104,157000.00,156,157000.00,9.6,6,1,2,0,0.8,0,1.0,1,0.0,2018-06-13,2018-12-13,0,0,0,0.00,0.00,0.00
150854488056,108,1315000.00,156,1315000.00,10.8,24,1,2,0,1.0,1,0.0,1,0.0,2018-04-15,2020-04-15,0,0,0,0.00,0.00,0.00
050686887783,106,2015000.00,156,2015000.00,8.4,18,1,1,0,0.5,1,0.0,0,4.0,2018-04-13,2019-10-13,0,0,0,0.00,0.00,0.00
410054059332,106,15000.00,156,15000.00,12.0,18,1,2,0,0.5,1,0.0,1,0.0,2018-03-11,2019-09-11,0,0,0,0.00,0.00,0.00
171437585729,118,87000.00,156,87000.00,8.4,18,1,1,0,0.8,0,1.0,0,3.0,2018-05-04,2019-11-04,0,0,0,0.00,0.00,0.00
230298197327,101,10000.00,156,10000.00,7.2,3,1,2,0,1.0,1,0.0,1,0.0,2018-05-24,2018-08-24,0,0,0,0.00,0.00,0.00
330161487111,111,545000.00,156,545000.00,7.2,18,1,0,0,1.5,0,2.0,0,4.0,2018-07-09,2020-01-09,0,0,0,0.00,0.00,0.00
271056693194,108,835000.00,156,835000.00,8.4,18,1,0,0,1.2,1,0.0,0,5.0,2018-01-07,2019-07-07,0,0,0,0.00,0.00,0.00
160233310610,114,649000.00,156,649000.00,12.0,24,1,2,0,1.5,1,0.0,0,5.0,2018-03-19,2020-03-19,0,0,0,0.00,0.00,0.00
251013975488,117,427000.00,156,427000.00,8.4,6,1,2,0,0.5,1,0.0,0,3.0,2018-05-27,2018-11-27,0,0,0,0.00,0.00,0.00
131555933061,120,29000.00,156,29000.00,10.8,6,1,2,0,1.5,0,3.0,0,5.0,2018-04-27,2018-10-27,0,0,0,0.00,0.00,0.00
090212877540,119,147000.00,156,147000.00,12.0,24,1,1,0,1.2,0,1.0,0,4.0,2018-06-05,2020-06-05,0,0,0,0.00,0.00,0.00
090701888327,120,1966000.00,156,1966000.00,10.8,3,1,0,0,1.2,0,1.0,0,3.0,2018-03-07,2018-06-07,0,0,0,0.00,0.00,0.00
060538997045,107,15000.00,156,15000.00,10.8,6,1,2,0,0.8,0,2.0,1,0.0,2018-06-21,2018-12-21,0,0,0,0.00,0.00,0.00
170805108669,120,359000.00,156,359000.00,12.0,3,1,0,0,0.5,1,0.0,0,3.0,2018-02-15,2018-05-15,0,0,0,0.00,0.00,0.00
110311531802,110,537000.00,156,537000.00,12.0,3,1,0,0,1.2,0,3.0,1,0.0,2018-04-01,2018-07-01,0,0,0,0.00,0.00,0.00
271465734461,108,924000.00,156,924000.00,7.2,12,1,1,0,1.5,1,0.0,0,4.0,2018-04-28,2019-04-28,0,0,0,0.00,0.00,0.00
200883570014,112,2426000.00,156,2426000.00,7.2,3,1,2,0,1.0,1,0.0,0,5.0,2018-01-31,2018-04-30,0,0,0,0.00,0.00,0.00
270762053300,118,617000.00,156,617000.00,8.4,12,1,1,0,0.8,1,0.0,0,4.0,2018-03-22,2019-03-22,0,0,0,0.00,0.00,0.00
121164468400,109,28000.00,156,28000.00,10.8,24,1,1,0,0.5,1,0.0,0,3.0,2018-05-30,2020-05-30,0,0,0,0.00,0.00,0.00
201371389879,110,979000.00,156,979000.00,12.0,18,1,0,0,1.2,0,2.0,0,5.0,2018-06-02,2019-12-02,0,0,0,0.00,0.00,0.00
240399199507,107,997000.00,156,997000.00,8.4,24,1,1,0,0.8,1,0.0,0,5.0,2018-07-14,2020-07-14,0,0,0,0.00,0.00,0.00
300429539699,114,2161000.00,156,2161000.00,10.8,18,1,1,0,1.0,1,0.0,0,4.0,2018-01-28,2019-07-28,0,0,0,0.00,0.00,0.00
