协议编号,借据编号,还款期数,还款日期,实还利息,实还本金,还款金额,还款标志
350024513243,104,1,2018-02-19,112.00,0.00,112.00,1
350024513243,104,2,2018-03-19,112.00,0.00,112.00,1
350024513243,104,3,2018-04-19,112.00,0.00,112.00,1
350024513243,104,4,2018-05-19,112.00,0.00,112.00,1
350024513243,104,5,2018-06-19,112.00,0.00,112.00,1
350024513243,104,6,2018-07-19,112.00,0.00,112.00,1
350024513243,104,7,2018-08-19,112.00,0.00,112.00,1
350024513243,104,8,2018-09-19,112.00,0.00,112.00,1
350024513243,104,9,2018-10-19,112.00,0.00,112.00,1
350024513243,104,10,2018-11-19,112.00,0.00,112.00,1
171634451666,110,1,2018-02-26,222.00,1437.94,1659.94,1
171634451666,110,2,2018-03-26,213.37,1446.57,1659.94,1
171634451666,110,3,2018-04-26,204.69,1455.25,1659.94,1
201610121727,112,1,2018-02-26,2268.00,25976.21,28244.21,1
201610121727,112,2,2018-03-26,2086.17,26158.04,28244.21,1
201610121727,112,3,2018-04-26,1903.06,26341.15,28244.21,1
201610121727,112,4,2018-05-26,1718.67,26525.54,28244.21,1
201610121727,112,5,2018-06-26,1532.99,26711.22,28244.21,1
201610121727,112,6,2018-07-26,1346.01,26898.20,28244.21,1
201610121727,112,7,2018-08-26,1157.73,27086.48,28244.21,1
201610121727,112,8,2018-09-26,968.12,27276.09,28244.21,1
201610121727,112,9,2018-10-26,777.19,27467.02,28244.21,1
290202178787,107,1,2018-04-05,189.00,0.00,189.00,1
290202178787,107,2,2018-05-05,189.00,0.00,189.00,1
290202178787,107,3,2018-06-05,189.00,0.00,189.00,1
290202178787,107,4,2018-07-05,189.00,0.00,189.00,1
061296434246,112,1,2018-08-06,4207.00,23084.38,27291.38,1
061296434246,112,2,2018-09-06,4045.41,23245.97,27291.38,1
061296434246,112,3,2018-10-06,3882.69,23408.69,27291.38,1
061296434246,112,4,2018-11-06,3718.83,23572.55,27291.38,1
061296434246,112,5,2018-12-06,3553.82,23737.56,27291.38,1
130750760627,106,1,2018-07-11,384.00,8000.00,8384.00,1
